Matematica;Comunicacion;Ingles;DesarrolloPersonal;Historia;ArteyCultura;Quimica;Biologia;Fisica;EmprendimientoI;EmprendimientoII;KuderA;KuderB;KuderC;KuderD;KuderE;KuderF;KuderG;KuderH;KuderI;KuderJ;CapsE1MR;CapsE2SR;CapsE3VR;CapsE4NA;CapsE5LU;CapsE6WK;CapsE7PSA;Career
12;18;16;20;20;18;18;20;0;18;12;20;21;16;26;17;30;13;22;21;17;0;7;9;9;6;0;0;IngenieriaMecanicaElectrica
12;17;18;12;6;14;16;16;12;10;20;7;14;11;12;15;24;12;30;12;27;6;5;8;3;7;0;6;IngenieriaMecatronica
11;9;20;18;18;16;20;20;6;18;18;20;28;30;21;7;25;7;10;6;11;6;1;9;9;0;5;4;IngenieriaMecatronica
11;17;20;0;18;14;17;20;10;16;16;18;7;9;23;30;7;26;13;12;10;3;0;5;5;3;5;6;TecnologiaMedica
18;18;20;20;20;20;17;20;12;18;18;7;29;26;14;22;14;21;29;13;30;1;1;9;9;2;9;6;IngenieriaMecanica
15;17;20;16;18;20;15;20;12;8;20;16;12;8;22;26;27;29;12;11;6;6;2;0;0;0;9;1;EducacionSecundaria
7;16;9;18;20;0;17;16;11.5;14;10;24;10;24;14;24;27;27;10;7;11;6;5;9;0;1;5;6;IngenieriaIndustrial
5;18;9;14;18;0;12;16;8.5;6;12;27;29;15;6;20;25;9;26;10;6;4;6;0;9;9;7;0;TurismoyHoteleria
13;18;20;18;16;10;18;20;18;16;18;17;16;12;13;29;9;20;27;7;22;6;3;9;2;7;0;3;IngenieriadeIndustriaAlimentaria
16;17;19;18;20;12;18;20;9;8;20;28;17;19;7;15;11;16;29;25;22;4;3;9;3;7;9;5;IngenieriaAmbiental
13;19;10;20;20;20;20;20;19;20;14;26;17;23;21;29;11;23;30;9;13;1;3;9;7;0;4;0;IngenieriaIndustrial
12;16;19;18;18;16;10;12;10;16;20;26;17;25;6;27;7;29;22;26;30;6;0;6;9;0;9;7;FarmaciayBioquimica
10;19;20;20;20;18;14;20;11;14;18;29;20;27;16;7;21;20;30;8;7;6;3;7;0;5;9;3;IngenieriadeMinas
17;16;19;20;20;18;20;20;14;20;20;16;17;12;15;27;15;7;6;19;12;1;2;2;4;0;1;6;AdministraciondeEmpresas
11;16;7;16;10;14;8;16;0;14;10;28;29;9;9;27;29;13;25;30;26;3;0;9;9;6;9;9;Arquitectura
14;9;19;20;18;18;0;12;20;16;12;20;27;21;18;23;20;14;25;30;18;4;7;9;0;7;0;0;IngenieriaCivil
18;19;19;20;20;18;20;20;19;20;16;17;28;21;24;26;27;21;16;11;9;6;4;6;2;5;0;7;Contabilidad
18;17;19;20;20;18;20;20;20;16;18;25;25;16;23;21;14;7;16;28;15;3;2;5;4;3;6;5;CienciaPoliticayGobierno
10;16;19;18;20;20;19;20;17;20;20;30;6;7;19;30;29;19;19;13;7;1;2;1;9;0;9;9;PublicidadyMultimedia
17;17;20;20;20;20;16;20;0;20;20;17;24;28;6;17;19;28;23;30;20;6;7;9;2;7;0;5;MedicinaVeterinariayZootecnia
12;18;10;18;18;12;18;20;0;14;10;12;12;28;21;19;12;27;20;27;7;6;2;3;9;1;2;4;MedicinaHumana
15;17;20;20;20;18;18;20;18;18;18;20;6;11;25;15;21;18;14;30;14;4;2;8;9;2;7;6;IngenieriaMecanicaElectrica
17;16;9;20;20;20;0;20;7;20;20;21;20;13;6;26;20;23;22;27;29;1;4;0;2;9;3;1;PublicidadyMultimedia
5;9;20;20;18;18;16;20;16;12;16;9;30;24;16;12;21;7;8;15;22;0;5;5;0;2;9;0;AdministraciondeEmpresas
10;19;20;20;18;16;19;20;19;12;16;6;28;29;19;6;19;23;25;8;24;6;5;8;9;3;0;8;IngenieriadeSistemas
19;18;16;20;20;20;20;20;20;20;20;20;28;7;10;18;30;21;27;23;24;2;0;0;1;0;6;3;AdministraciondeEmpresas
18;19;19;20;20;18;0;20;20;20;18;28;30;13;22;25;22;8;24;30;25;6;7;0;3;8;3;3;EducacionSecundaria
13;18;18;20;18;18;20;0;18;18;18;26;30;22;12;8;19;13;11;21;22;0;5;9;5;3;1;9;IngenieriadeSistemas
7;17;16;20;14;20;12;12;5.5;20;8;21;6;22;10;19;11;16;14;24;25;0;6;0;7;0;4;6;Contabilidad
14;19;15;20;20;16;17;20;17;16;16;17;21;8;30;16;8;19;11;21;13;6;7;0;9;0;9;4;TecnologiaMedica
19;16;9;20;18;10;0;20;16;12;10;16;27;9;10;19;7;12;30;17;23;0;5;0;6;4;9;7;IngenieriaComercial
13;17;16;16;20;18;12;20;9;16;12;7;18;25;25;28;10;25;10;18;9;6;0;9;0;0;0;5;IngenieriaMecanicaElectrica
20;15;20;18;20;20;20;20;17;20;18;24;29;26;13;18;8;24;16;23;14;2;2;0;2;6;1;0;IngenieriaAmbiental
15;18;17;20;20;20;14;20;0;20;18;13;20;22;6;30;22;25;18;9;17;1;6;9;0;8;0;2;Arquitectura
9;19;15;18;16;14;20;12;20;10;10;24;17;27;28;20;17;8;20;10;13;6;2;9;9;0;0;3;IngenieriaMecanicaElectrica
9;16;17;20;20;14;20;0;17;10;16;27;10;8;28;9;25;12;15;8;18;2;0;6;9;6;1;2;IngenieriaBiotecnologica
13;16;19;20;18;16;16;20;14;16;8;25;24;18;12;27;7;24;6;28;11;2;7;4;5;7;3;1;AdministraciondeEmpresas
14;19;18;20;18;18;19;20;18;16;16;7;11;17;19;18;13;10;18;19;20;6;5;9;4;6;2;7;IngenieriaIndustrial
17;17;20;20;18;20;19;16;20;20;10;15;28;16;19;26;19;11;9;19;9;6;3;0;9;6;9;0;MedicinaHumana
15;17;15;20;20;18;12;16;13;14;20;25;21;20;6;13;19;15;18;26;6;2;7;9;6;0;0;5;IngenieriaMecatronica
19;19;20;20;20;14;20;20;17;18;14;19;17;9;21;11;27;8;22;11;14;3;2;4;7;3;9;6;Contabilidad
10;19;19;16;16;12;17;20;14;12;20;9;28;17;20;26;10;29;14;30;8;3;1;0;7;0;0;0;CienciaPoliticayGobierno
16;19;19;20;18;16;20;20;16;20;16;27;21;15;25;30;21;27;8;12;24;1;1;0;9;0;9;0;TurismoyHoteleria
12;19;18;20;20;16;17;20;18;20;12;11;30;12;25;19;8;9;16;18;24;1;4;5;4;4;0;0;CienciaPoliticayGobierno
16;17;9;16;20;20;20;20;0;20;20;22;10;11;7;28;27;14;24;27;25;3;0;0;0;8;9;8;TurismoyHoteleria
7;8;14;20;18;12;13;12;15;12;6;14;13;22;28;13;30;16;29;7;21;4;6;9;9;6;9;0;MedicinaVeterinariayZootecnia
9;19;10;20;20;12;19;16;0;18;16;20;9;27;25;27;6;7;29;9;30;5;5;9;8;5;6;6;IngenieriaElectronica
17;18;20;20;6;20;17;16;10;20;16;23;24;17;7;29;8;17;13;27;13;4;0;6;3;0;0;1;Contabilidad
14;16;20;20;20;20;20;20;20;20;20;26;26;14;8;13;29;22;23;19;6;6;5;1;8;4;0;4;MedicinaHumana
15;18;18;20;20;20;17;20;16;20;20;30;18;20;12;20;13;14;27;23;19;0;1;2;5;6;5;0;Contabilidad
12;18;19;20;20;20;20;16;17;20;16;12;22;16;6;24;30;12;12;17;24;0;4;9;0;1;9;7;MedicinaVeterinariayZootecnia
18;17;20;18;20;20;20;20;20;20;20;19;29;22;30;15;13;23;17;28;15;0;0;7;1;8;7;9;EducacionPrimaria
13;9;20;20;20;18;16;20;14;16;14;8;29;12;13;9;29;17;15;13;24;4;2;9;9;4;0;0;IngenieriaIndustrial
16;17;20;18;20;16;15;20;20;18;14;27;10;11;26;16;23;27;12;8;8;4;0;9;7;6;1;0;IngenieriaElectronica
13;17;20;18;18;14;16;16;10;20;16;25;19;23;22;7;22;28;26;26;25;5;4;0;9;0;6;2;TecnologiaMedica
17;15;20;18;12;0;14;0;20;12;10;13;9;11;6;22;16;22;16;17;15;6;7;0;4;0;9;4;Contabilidad
9;18;16;18;10;10;0;16;8;12;6;25;26;14;28;11;7;12;27;30;21;4;0;9;0;0;6;0;IngenieriaMecanica
12;18;18;18;20;10;0;0;12;18;20;14;11;22;21;6;15;19;21;13;22;6;1;2;5;3;2;0;Derecho
16;18;20;20;20;18;18;20;20;18;16;10;29;20;12;6;23;24;8;12;14;0;2;0;8;9;0;2;Psicologia
14;19;17;20;10;14;20;20;20;10;16;16;19;20;20;30;11;6;28;19;29;6;2;9;2;0;0;1;IngenieriaAgronomicayAgricola
11;14;18;20;0;20;19;16;17;4;0;14;9;17;22;12;12;20;12;29;8;4;3;6;4;5;3;3;IngenieriaComercial
13;16;16;20;20;18;16;20;16;18;8;30;30;9;11;21;8;27;10;16;30;1;4;0;0;9;3;0;TrabajoSocial
20;16;19;20;20;20;16;20;16;20;20;8;22;13;26;24;13;30;24;12;23;6;5;9;0;0;5;0;IngenieriadeIndustriaAlimentaria
9;9;14;20;18;18;17;20;18;16;14;14;20;11;15;17;15;15;17;9;10;3;7;6;0;0;4;1;CienciaPoliticayGobierno
15;17;20;20;20;16;18;20;14;16;12;19;14;18;29;24;11;18;25;29;24;6;1;2;1;1;9;5;Enfermeria
14;17;19;18;18;16;16;16;10;16;8;27;15;10;12;19;25;16;6;6;10;6;0;3;9;6;5;3;Odontologia
15;14;19;20;20;20;12;20;20;18;18;26;11;14;19;10;6;28;21;12;7;0;3;9;4;2;6;4;IngenieriaMecanicaElectrica
5;18;0;20;18;16;17;20;19;16;12;18;21;10;7;13;19;18;7;23;29;4;3;9;5;7;0;0;Arquitectura
13;17;17;20;18;20;20;16;11;20;18;18;12;13;27;16;24;23;13;12;27;6;4;9;9;9;1;2;IngenieriadeIndustriaAlimentaria
5;18;17;18;0;10;7;16;14;12;0;17;7;16;27;27;15;14;12;11;16;6;6;0;9;9;6;3;TrabajoSocial
14;16;18;20;16;20;14;16;6;20;20;26;19;30;28;17;19;6;18;25;27;6;1;0;9;3;3;1;MedicinaHumana
13;18;10;20;20;20;20;20;14.5;20;12;12;13;29;13;16;9;7;14;14;13;4;0;3;0;1;2;2;Contabilidad
11;19;20;20;20;18;0;20;16;18;18;13;28;16;14;10;14;24;23;19;23;6;0;6;0;6;2;4;CienciaPoliticayGobierno
7;19;18;20;16;18;17;20;19;16;16;10;29;13;9;8;8;7;20;20;10;0;3;0;4;0;2;6;Derecho
14;14;14;18;16;20;20;20;8;10;16;22;13;10;18;26;20;20;18;30;27;6;0;0;2;9;9;4;Psicologia
14;17;19;20;20;14;20;20;12;18;20;14;29;15;11;28;16;12;20;16;9;0;0;6;5;1;4;0;CienciaPoliticayGobierno
17;17;19;20;18;20;13;16;17;20;20;8;20;28;30;20;8;20;30;8;8;6;3;0;9;3;3;0;FarmaciayBioquimica
10;19;16;18;20;20;18;20;20;18;16;13;10;21;21;7;18;27;25;21;11;5;7;9;0;1;1;0;IngenieriaIndustrial
19;18;20;20;20;20;20;20;20;18;20;20;17;19;18;18;19;30;24;19;14;6;3;6;0;0;8;5;IngenieriaComercial
9;18;18;18;20;12;20;20;10;16;14;11;23;16;11;7;7;12;27;22;10;6;0;9;5;1;3;4;IngenieriadeMinas
12;8;20;20;20;14;11;20;20;18;18;25;8;28;21;27;6;17;16;11;15;6;4;9;3;3;0;1;MedicinaVeterinariayZootecnia
13;17;20;20;20;20;17;16;20;0;20;18;20;13;23;19;22;16;7;30;8;6;7;9;9;0;3;5;IngenieriadeIndustriaAlimentaria
20;18;20;20;20;20;19;20;20;18;12;28;9;19;27;28;24;15;28;15;17;1;5;5;0;9;7;7;EducacionInicial
19;17;19;20;18;18;20;16;14.5;18;16;14;9;29;24;27;17;16;15;14;13;1;5;0;9;2;4;9;FarmaciayBioquimica
8;19;9;18;20;10;20;20;16;18;14;9;19;30;6;17;8;15;23;26;25;4;2;9;9;6;9;1;IngenieriadeMinas
6;16;14;20;18;16;8;20;4;4;4;21;23;23;21;9;17;12;22;27;18;5;7;9;9;3;5;0;IngenieriaMecanica
15;18;20;20;20;8;16;20;20;20;16;24;17;24;21;9;7;20;29;12;24;0;1;5;9;0;9;9;MedicinaHumana
14;17;18;20;20;16;16;20;10;16;10;23;22;15;24;9;10;24;14;26;18;2;5;1;7;0;0;0;CienciaPoliticayGobierno
18;17;10;20;20;18;2;20;10;20;18;6;29;10;15;14;8;21;7;9;6;1;7;5;9;0;9;0;MedicinaHumana
13;17;19;18;18;18;20;16;8;14;12;15;10;15;8;23;20;21;8;21;14;6;2;9;3;0;3;0;IngenieriaMecanica
18;16;20;20;20;20;16;20;11;20;20;15;22;27;7;8;28;10;6;28;21;6;0;9;0;0;7;0;IngenieriaAmbiental
16;16;17;20;20;20;14;16;7;20;18;27;22;20;17;27;17;7;15;25;17;6;2;5;2;2;0;0;Derecho
5;18;13;20;20;18;0;16;0;14;4;22;30;9;16;13;29;17;24;19;21;6;3;9;2;4;9;0;IngenieriaIndustrial
14;17;20;18;20;20;14;16;10;20;20;7;25;14;27;20;16;12;17;14;17;0;4;5;9;0;3;1;IngenieriaBiotecnologica
15;18;19;20;20;16;17;20;18;18;8;17;26;28;30;19;17;10;29;9;21;6;2;9;9;0;9;4;IngenieriaCivil
18;17;19;20;18;20;19;20;18;18;20;7;14;20;22;19;25;26;15;15;24;2;2;0;8;1;5;0;FarmaciayBioquimica
11;16;16;16;10;12;19;20;0;20;14;26;10;18;22;17;18;7;9;25;24;2;1;6;7;9;6;0;TrabajoSocial
7;19;18;20;18;20;16;20;17;20;18;21;19;19;14;27;27;22;7;23;25;0;5;8;4;1;1;2;IngenieriaElectronica
6;18;18;18;18;16;19;20;18;20;10;26;30;27;20;9;9;21;10;22;16;6;5;9;4;5;9;0;IngenieriaCivil
12;16;18;20;16;8;16;16;0;20;20;24;28;29;19;21;20;14;24;28;6;3;0;0;2;6;9;7;IngenieriadeMinas
15;17;20;20;20;20;20;20;0;20;20;25;20;25;26;20;13;19;18;23;30;3;1;2;9;1;9;0;Odontologia
7;8;17;18;20;16;16;20;17;14;10;14;12;10;20;7;8;17;12;29;10;6;4;2;5;7;9;3;Contabilidad
18;17;16;20;0;20;17;16;11.5;12;0;8;20;27;24;21;26;14;27;18;27;5;7;9;9;0;9;0;Arquitectura
11;16;16;20;20;18;16;20;20;20;20;6;25;13;25;24;24;7;30;19;21;3;0;9;9;0;0;7;Arquitectura
6;16;18;14;14;12;11;20;16;18;16;8;17;13;14;22;26;29;17;24;19;0;3;2;4;0;9;6;TrabajoSocial
13;18;20;20;20;20;8;16;20;16;18;14;18;30;19;26;9;29;23;28;21;2;5;9;0;0;4;5;MedicinaVeterinariayZootecnia
18;18;17;20;20;20;20;20;15;20;18;9;28;12;28;18;9;24;30;15;16;6;5;3;0;0;9;7;Derecho
17;18;19;20;20;20;15;20;20;20;20;10;14;8;20;16;12;17;29;9;27;6;3;0;9;9;3;0;TurismoyHoteleria
18;19;19;20;18;20;16;16;11;4;16;29;12;13;27;10;30;18;29;19;29;6;1;5;7;0;4;6;AdministraciondeEmpresas
18;19;16;18;20;16;20;20;20;20;10;8;13;8;28;11;29;16;8;17;8;4;7;9;9;5;7;0;IngenieriaIndustrial
14;18;20;20;20;20;16;20;16;20;20;15;19;16;6;9;10;16;23;18;19;4;7;4;4;0;0;2;Contabilidad
10;15;19;20;20;16;14;16;20;12;16;19;28;12;12;24;27;11;15;20;25;2;6;9;0;2;5;2;Arquitectura
10;8;11;16;20;10;14;20;10;10;14;17;22;11;10;20;30;26;7;15;8;0;2;2;3;0;2;5;Psicologia
1;16;13;20;14;16;4;20;12;14;18;28;30;8;24;9;11;24;19;8;7;3;0;2;2;8;9;3;EducacionInicial
9;19;8;18;18;12;15;20;0;12;18;24;27;28;11;10;10;6;28;19;18;1;6;0;2;7;0;0;IngenieriadeSistemas
5;19;8;12;12;14;15;12;0;14;14;21;30;29;10;19;15;19;8;19;17;1;7;9;8;3;0;0;IngenieriaMecanicaElectrica
13;18;9;18;20;4;16;16;12;10;16;13;9;19;28;27;29;23;30;18;11;3;3;6;9;5;0;6;TurismoyHoteleria
9;19;9;20;18;16;18;20;19;16;14;29;13;14;16;14;17;23;6;30;12;2;5;0;5;5;0;0;Derecho
14;17;18;20;20;18;17;16;16;16;20;17;14;22;9;26;29;11;15;10;27;1;3;9;8;0;9;4;IngenieriaMecanica
5;19;17;18;20;18;18;20;17;20;0;22;25;21;29;26;29;6;26;23;29;1;6;3;9;6;1;1;TecnologiaMedica
2;15;15;14;18;10;0;16;14;10;10;30;6;28;14;27;24;8;27;26;9;1;4;0;1;0;9;3;Derecho
10;17;19;20;16;14;0;20;15;16;12;10;18;9;24;15;28;27;16;24;11;6;0;0;9;1;1;3;IngenieriaBiotecnologica
7;17;19;18;18;14;17;16;8.5;0;14;14;16;7;29;6;29;29;22;29;9;6;0;0;1;5;4;3;CienciaPoliticayGobierno
14;18;20;0;20;0;14;20;18;16;14;23;6;22;26;21;11;12;14;10;6;5;7;9;9;7;9;3;IngenieriadeIndustriaAlimentaria
18;17;18;16;20;18;17;16;20;18;14;27;14;22;17;8;20;23;13;17;20;3;3;9;3;1;6;1;Arquitectura
15;15;16;20;20;16;0;0;12;18;16;26;26;16;25;9;30;22;17;29;28;1;4;9;0;0;5;2;IngenieriaMecatronica
10;18;9;20;14;12;19;12;16;12;18;21;18;21;18;23;9;8;17;12;22;5;1;4;9;9;0;0;PublicidadyMultimedia
15;17;20;16;16;20;2;16;0;8;12;17;24;29;6;21;19;26;22;29;26;4;6;9;4;6;9;4;IngenieriaAmbiental
12;14;19;20;0;20;17;20;0;18;14;17;27;7;7;7;16;6;26;26;10;6;0;9;8;1;0;0;IngenieriaAgronomicayAgricola
16;17;18;18;20;10;20;20;11;16;20;25;21;11;28;10;12;9;6;21;13;2;4;2;9;0;9;3;Odontologia
16;17;18;18;10;0;10;12;16;10;20;21;9;27;11;21;30;24;25;20;29;0;0;0;3;9;3;6;TrabajoSocial
18;17;19;20;20;20;20;20;20;18;18;12;11;17;12;15;24;30;14;15;19;2;1;3;9;6;9;0;Odontologia
4;19;19;16;10;10;16;20;11.5;12;10;14;26;12;11;23;22;28;20;22;24;4;5;3;0;1;0;0;AdministraciondeEmpresas
7;19;19;20;18;18;20;20;0;16;14;15;19;25;30;23;13;22;29;10;8;6;1;9;9;5;5;7;IngenieriaCivil
14;17;20;20;18;20;19;16;20;10;20;30;21;17;20;10;16;18;9;8;16;6;1;0;2;0;9;3;Derecho
5;8;12;20;20;18;19;16;10;18;14;27;7;20;11;12;18;25;30;9;18;6;6;4;9;5;5;1;ObstetriciayPuericultura
12;17;20;20;20;12;20;20;9;20;18;7;11;15;9;18;11;12;21;9;15;3;0;9;0;9;0;0;IngenieriaAmbiental
17;18;20;20;20;16;16;20;20;20;14;7;30;13;9;7;20;14;18;15;9;4;7;0;8;7;9;7;ObstetriciayPuericultura
18;17;16;18;20;12;19;16;17;20;10;23;25;11;25;17;7;9;17;29;25;1;0;9;5;1;3;0;IngenieriaMecanica
11;19;12;20;18;16;20;20;8.5;20;14;11;19;9;17;30;7;21;10;10;23;0;0;6;0;0;9;2;Derecho
14;17;20;18;20;20;17;20;12;20;20;13;11;22;23;27;7;23;6;26;11;0;0;6;0;4;7;5;AdministraciondeEmpresas
16;18;20;20;20;20;19;20;20;20;16;18;10;19;7;22;28;11;8;20;19;3;2;9;4;3;9;0;IngenieriaAgronomicayAgricola
11;18;12;20;18;14;20;16;20;12;12;8;11;10;8;26;16;27;15;30;8;6;7;3;9;7;0;2;ObstetriciayPuericultura
17;17;19;18;20;18;17;20;12;18;20;20;7;11;23;10;12;10;24;6;26;1;2;0;0;9;0;0;Psicologia
12;17;17;20;20;20;20;20;20;20;18;16;18;26;22;28;22;25;11;9;25;6;0;9;3;2;6;0;IngenieriaAmbiental
13;17;20;18;18;20;12;20;11;18;16;17;25;25;19;11;26;10;7;9;21;1;4;7;6;0;3;1;CienciaPoliticayGobierno
13;17;18;20;18;20;18;20;14;12;12;29;26;18;29;23;14;22;20;17;24;4;0;6;8;2;0;3;Enfermeria
18;18;14;20;20;20;0;16;14.5;16;20;19;29;10;23;19;16;9;11;12;20;1;2;2;0;1;4;1;Derecho
7;19;9;18;16;12;9;20;15;18;18;17;16;6;27;23;8;17;8;16;11;0;0;9;0;6;1;1;IngenieriadeMinas
13;17;18;20;20;18;16;20;17;0;16;9;15;11;27;11;12;28;22;7;17;2;0;0;8;3;7;2;TecnologiaMedica
15;17;20;20;20;20;12;20;14;20;20;14;25;10;20;16;27;26;26;18;13;3;3;0;0;9;9;7;EducacionInicial
19;8;9;20;20;20;20;20;8;12;12;26;10;23;20;6;22;9;30;29;29;0;6;0;8;2;9;3;Odontologia
9;17;10;12;0;14;5;12;11;4;10;15;21;15;9;14;11;8;30;16;21;4;6;4;6;7;0;4;AdministraciondeEmpresas
14;17;18;20;20;0;19;12;19;18;20;17;10;16;20;20;21;20;21;28;8;4;0;9;9;1;5;0;IngenieriaAgronomicayAgricola
6;15;15;18;18;10;13;20;10;10;10;7;7;9;18;18;26;20;19;6;30;1;7;0;1;2;0;4;Derecho
11;18;18;20;12;10;19;12;0;8;8;23;15;26;9;29;24;28;12;30;23;2;0;9;9;5;7;3;IngenieriaCivil
10;17;17;20;20;10;14;20;17;16;16;8;16;17;23;18;29;9;17;19;28;6;5;9;2;9;4;0;IngenieriaAgronomicayAgricola
18;16;19;20;20;20;19;16;19;20;20;6;15;9;25;30;20;8;29;15;9;6;5;9;9;4;8;0;IngenieriaCivil
17;13;14;20;20;20;18;20;18;20;20;22;30;27;13;10;23;25;7;13;29;6;5;2;9;3;9;7;IngenieriaElectronica
14;9;19;20;18;12;17;16;16;18;12;13;16;12;14;23;9;8;9;15;19;0;4;9;0;0;0;0;IngenieriaAmbiental
8;15;18;12;18;8;11;16;5;8;8;27;13;27;21;17;30;24;25;28;22;0;1;9;8;6;0;3;IngenieriaMecanicaElectrica
15;16;18;20;20;18;19;20;20;14;20;8;18;26;13;11;18;9;28;6;28;1;7;6;7;2;9;7;IngenieriaComercial
12;19;18;20;20;18;16;20;20;2;12;14;17;21;12;20;13;23;21;25;30;6;1;9;0;6;3;1;Arquitectura
7;13;17;20;18;16;11;20;0;12;6;27;28;26;11;22;26;11;24;19;18;6;4;6;0;6;6;6;IngenieriaMecanica
16;17;19;20;20;20;18;20;16;20;20;25;23;28;11;15;13;28;17;9;25;6;3;9;0;2;0;0;MedicinaVeterinariayZootecnia
12;17;10;20;18;16;20;20;20;18;18;20;29;18;25;13;26;7;17;6;13;4;4;9;9;0;5;1;IngenieriadeMinas
8;18;19;20;18;14;16;16;8.5;16;18;30;15;23;16;23;28;7;23;24;12;6;0;2;7;6;9;2;IngenieriaComercial
15;18;19;20;20;18;20;20;14;20;16;20;29;15;18;29;26;28;11;7;9;0;0;2;9;0;7;4;PublicidadyMultimedia
12;18;20;20;20;18;15;12;18;16;14;26;18;13;16;15;16;21;21;18;17;0;4;4;5;3;4;0;CienciaPoliticayGobierno
5;16;18;18;16;14;15;20;0;16;18;13;21;12;9;10;23;20;22;14;16;1;1;3;0;0;8;0;Contabilidad
11;9;19;20;18;16;16;20;20;16;14;22;26;8;8;25;21;13;27;8;13;3;2;2;0;6;0;1;Contabilidad
17;17;9;20;18;20;12;20;16;14;16;16;8;14;20;10;25;9;26;22;29;1;6;8;0;0;7;3;IngenieriaCivil
10;17;20;20;0;12;14;16;18;10;0;10;12;23;28;23;21;12;29;15;19;4;0;6;0;6;3;9;ObstetriciayPuericultura
16;18;20;20;20;20;16;20;20;20;14;17;18;27;23;12;10;13;28;15;13;6;0;7;5;5;1;7;Contabilidad
17;9;20;20;20;18;19;20;17;18;14;10;6;26;11;12;21;9;16;14;16;0;5;6;9;3;1;9;ObstetriciayPuericultura
19;17;19;20;20;20;16;16;8;20;20;23;21;22;11;17;19;14;13;16;10;6;4;9;9;0;6;0;IngenieriadeMinas
5;16;10;18;20;10;14;20;13;14;20;20;15;19;26;19;10;18;20;26;6;2;0;9;0;2;3;4;IngenieriadeIndustriaAlimentaria
19;16;15;20;0;18;16;20;16;18;0;25;17;10;26;13;12;30;9;7;15;6;0;6;7;4;3;0;IngenieriaComercial
16;17;20;20;18;18;17;20;0;20;16;9;20;11;10;14;24;19;11;16;28;2;3;9;0;7;9;3;IngenieriaAmbiental
9;17;18;20;20;20;17;20;20;20;20;17;29;22;17;28;20;7;16;23;15;4;0;6;9;0;2;7;IngenieriaBiotecnologica
20;17;19;20;12;20;20;20;11.5;12;16;28;22;25;22;10;15;20;23;14;19;5;0;0;9;9;0;6;EducacionInicial
15;14;19;20;20;0;19;16;20;20;14;20;7;27;12;20;10;17;17;18;30;0;0;7;7;0;5;0;Derecho
17;17;20;20;20;20;16;20;14;20;20;17;29;12;26;7;27;25;25;20;12;5;4;9;0;0;9;2;IngenieriaAmbiental
18;17;19;20;20;18;19;20;20;18;12;10;29;11;18;15;20;7;9;26;26;6;7;5;2;2;9;0;CienciaPoliticayGobierno
14;16;20;20;20;20;19;20;0;20;18;29;30;18;29;9;17;25;19;21;8;6;2;5;2;1;1;2;MedicinaVeterinariayZootecnia
8;17;20;20;12;14;14;20;12;16;12;22;14;20;28;20;19;29;27;29;23;5;0;6;9;9;5;9;Psicologia
14;16;16;0;16;16;16;12;6;18;20;21;7;28;13;21;12;29;20;8;24;6;2;9;9;2;9;4;IngenieriaCivil
14;17;16;18;20;18;20;20;19;12;12;6;25;19;7;17;21;30;20;7;21;0;5;0;0;1;2;3;AdministraciondeEmpresas
13;15;19;16;18;14;15;12;16;16;14;19;24;29;13;17;29;9;10;20;11;0;4;4;9;0;9;0;FarmaciayBioquimica
19;18;20;20;18;18;20;20;14;14;14;25;21;27;29;22;6;11;6;22;12;1;7;9;0;9;0;4;IngenieriaElectronica
17;17;10;16;18;18;8;20;14;18;14;21;16;8;30;8;16;14;30;30;19;1;1;9;0;3;9;1;IngenieriaMecatronica
10;18;10;20;18;18;20;20;20;18;10;16;12;28;26;27;15;27;30;28;21;4;4;6;9;1;9;0;TecnologiaMedica
13;17;20;20;18;16;16;20;20;0;8;16;30;17;8;18;16;7;20;27;6;2;7;4;9;1;7;0;Enfermeria
10;18;20;18;20;20;18;16;0;20;20;13;10;16;17;30;10;15;18;13;27;5;6;2;1;7;0;0;IngenieriaComercial
15;17;20;20;18;16;18;20;16;16;14;26;30;24;7;9;23;11;25;28;21;6;0;2;9;8;3;3;IngenieriadeSistemas
17;14;16;20;18;18;18;12;0;18;20;27;17;14;18;6;25;6;9;30;28;4;0;2;8;0;0;0;FarmaciayBioquimica
19;16;20;20;20;20;20;20;20;20;20;23;23;9;21;13;30;15;6;24;23;1;2;9;9;0;1;0;IngenieriadeSistemas
6;17;20;18;16;6;15;0;4;12;16;20;18;18;21;25;23;20;23;12;10;0;3;9;9;0;9;3;IngenieriaElectronica
10;19;16;20;16;14;17;16;0;16;14;27;14;13;10;9;20;14;17;19;26;6;4;0;3;8;9;2;TrabajoSocial
19;18;20;18;20;20;16;20;20;20;20;17;23;10;14;13;21;16;24;16;7;6;2;0;5;0;2;0;CienciaPoliticayGobierno
9;18;10;18;16;14;17;20;0;16;12;23;25;19;21;15;15;20;21;23;29;6;0;8;9;4;6;2;IngenieriadeIndustriaAlimentaria
12;14;17;20;16;18;20;20;12;20;18;29;16;16;8;29;6;11;13;23;19;4;4;0;4;2;9;5;AdministraciondeEmpresas
10;15;14;20;16;16;10;16;0;10;0;14;7;22;28;27;7;15;22;26;30;6;0;9;0;0;9;0;IngenieriaAgronomicayAgricola
20;14;12;20;20;12;0;20;20;20;18;28;12;14;17;10;6;9;30;13;27;3;6;6;0;3;0;9;AdministraciondeEmpresas
20;14;19;18;16;20;19;20;12;18;14;23;27;14;7;30;17;26;26;25;8;6;4;5;7;5;0;0;AdministraciondeEmpresas
