MatematicaI;MatematicaII;ComunicacionI;ComunicacionII;InglesI;InglesII;DesarrolloPersonal;Historia;ArteyCultura;Quimica;Biologia;Fisica;EmprendimientoI;EmprendimientoII;KuderA1;KuderA2;KuderA3;KuderA4;KuderA5;KuderA6;KuderB1;KuderB2;KuderB3;KuderB4;KuderB5;KuderB6;KuderC1;KuderC2;KuderC3;KuderC4;KuderC5;KuderC6;KuderD1;KuderD2;KuderD3;KuderD4;KuderD5;KuderD6;KuderE1;KuderE2;KuderE3;KuderE4;KuderE5;KuderE6;KuderF1;KuderF2;KuderF3;KuderF4;KuderF5;KuderF6;KuderG1;KuderG2;KuderG3;KuderG4;KuderG5;KuderG6;KuderH1;KuderH2;KuderH3;KuderH4;KuderH5;KuderH6;KuderI1;KuderI2;KuderI3;KuderI4;KuderI5;KuderI6;KuderJ1;KuderJ2;KuderJ3;KuderJ4;KuderJ5;KuderJ6;CapsE1MR;CapsE2SR;CapsE3VR;CapsE4NA;CapsE5LU;CapsE6WK;CapsE7PSA;CapsP1MR;CapsP2SR;CapsP3VR;CapsP4NA;CapsP5LU;CapsP6WK;CapsP7PSA;Career
12;15;17;20;15;18;20;10;14;20;20;20;10;16;2;5;3;1;1;1;1;4;2;4;3;5;5;4;1;4;2;4;5;3;4;1;2;4;4;4;4;3;2;4;4;4;2;4;3;5;4;1;4;3;1;3;4;1;3;5;3;4;4;2;2;4;2;5;2;4;4;2;4;4;7;6;9;9;4;9;9;55;72;100;79;60;100;95;Contabilidad
12;9;17;10;18;17;20;0;20;19;16;17;4;0;2;1;1;3;3;2;4;1;5;1;3;4;2;3;5;1;2;4;1;3;3;1;1;3;4;3;3;1;2;1;2;1;1;1;5;2;1;1;3;1;5;2;1;1;4;3;1;5;4;5;2;4;3;5;1;1;2;3;4;1;5;3;9;8;1;3;3;40;38;100;66;13;33;51;Ingenieria Biotecnologica
14;12;15;16;15;16;20;20;18;16;20;16;18;8;1;5;2;2;2;3;5;2;1;3;1;2;5;3;2;5;4;2;4;3;2;3;1;1;1;4;4;5;3;5;4;3;2;1;2;1;3;1;2;2;1;4;1;1;2;3;1;5;3;4;2;3;2;5;4;2;3;1;5;4;9;2;9;9;1;1;7;95;33;82;91;30;10;86;Administracion de Empresas
20;20;17;15;20;17;20;20;20;16;20;16;20;20;5;2;1;1;2;2;5;4;5;3;4;1;4;3;1;4;1;2;4;4;1;5;2;3;5;2;5;4;3;2;4;2;5;3;2;2;5;4;4;5;1;3;5;1;4;2;3;4;1;2;5;4;5;5;5;3;4;2;4;2;2;5;9;7;1;1;1;20;61;71;62;30;10;14;Ingenieria Ambiental
18;0;17;0;20;7;20;18;18;17;20;18;16;14;2;4;5;4;3;5;5;3;1;1;5;3;2;3;5;5;3;3;2;1;5;5;4;3;2;4;3;5;1;3;1;5;4;2;5;5;1;1;4;2;4;4;4;4;2;5;2;1;3;4;2;3;2;1;3;1;2;1;2;3;5;1;9;2;1;5;1;40;27;78;29;23;50;24;Ingenieria Ambiental
13;17;17;17;20;19;20;20;16;18;20;14;16;12;3;1;2;4;5;3;5;5;3;4;1;1;4;4;2;3;5;2;2;5;2;1;3;3;1;1;1;2;5;5;5;5;5;2;1;2;3;4;4;1;1;3;3;5;4;2;3;3;3;4;1;4;3;5;5;2;2;4;2;1;7;6;9;9;1;2;2;55;72;85;87;13;30;45;Turismo y Hoteleria
13;14;16;17;18;20;18;18;16;16;16;10;16;8;1;4;2;2;2;1;4;2;1;2;5;2;1;4;2;4;1;4;1;1;5;5;3;5;3;1;5;5;4;4;3;3;2;2;1;2;4;1;5;4;1;1;4;5;3;3;4;4;1;1;1;3;3;1;4;5;2;5;3;2;9;1;1;9;8;3;4;80;16;3;95;90;32;61;Ingenieria Mecanica
17;13;15;12;20;18;20;20;20;12;20;20;18;18;3;4;3;1;5;1;1;3;2;3;5;4;3;3;5;4;3;1;5;5;2;4;4;4;5;4;1;3;3;3;4;1;2;1;4;3;2;3;2;1;5;4;1;4;4;3;2;5;4;3;4;5;2;5;2;3;3;5;2;2;9;9;5;6;4;9;1;100;100;50;54;60;91;1;Derecho
7;3;16;20;0;0;20;18;16;17;20;19;16;12;4;1;2;3;5;1;5;5;1;2;5;4;4;4;3;4;3;2;3;5;1;1;5;1;4;2;4;4;3;3;4;1;5;1;2;2;4;3;3;3;5;3;1;4;2;2;2;1;2;2;2;3;5;2;4;2;2;3;1;4;2;6;9;1;1;9;3;25;66;100;4;20;89;47;Medicina Humana
8;17;17;17;19;15;20;18;20;20;16;11;20;18;2;2;3;2;4;1;3;3;4;3;4;2;4;5;5;1;5;3;5;4;5;3;2;2;1;4;5;5;1;4;5;1;3;4;4;4;5;3;3;2;1;5;5;5;3;3;3;2;3;4;5;1;5;4;2;1;3;5;4;3;5;6;1;6;1;9;1;45;72;7;58;33;83;36;Ingenieria Mecanica
5;5;17;18;16;18;18;0;10;7;16;14;12;0;1;2;5;1;1;1;2;3;4;1;1;3;3;2;1;5;5;1;5;5;1;3;3;4;4;4;4;4;3;4;5;3;2;2;4;3;3;3;1;3;5;5;1;2;2;5;5;5;3;5;4;2;5;2;4;4;1;4;2;1;9;6;4;8;1;7;1;100;72;39;66;3;64;19;Tecnologia Medica
15;13;16;16;20;15;20;16;20;14;16;6;20;20;2;5;5;3;1;5;3;3;1;2;5;4;3;5;1;1;3;5;3;4;2;1;2;3;5;1;1;2;3;5;1;2;4;1;2;4;4;4;5;4;3;3;4;4;3;4;3;1;2;2;5;3;1;2;1;3;4;1;4;2;5;6;7;5;8;1;1;40;72;64;50;86;3;32;Educacion Secundaria
9;17;17;18;19;0;20;20;20;20;20;14.5;20;12;5;1;5;1;4;3;1;2;5;3;4;4;3;3;1;1;4;2;5;2;2;2;5;4;4;4;1;5;3;2;3;4;5;4;3;2;3;3;1;4;1;2;1;4;4;5;5;5;3;5;4;4;2;4;2;3;2;5;4;4;5;4;9;9;1;5;2;40;50;82;95;20;51;43;Ingenieria Comercial
12;9;18;20;19;20;20;20;18;0;20;16;18;18;1;5;4;2;5;1;5;2;4;3;2;1;2;2;2;5;2;2;3;3;5;2;1;1;3;5;2;1;1;3;1;3;5;3;5;1;3;4;1;4;2;1;1;3;3;3;3;5;3;4;1;4;1;1;1;5;2;1;3;3;9;4;9;6;4;9;1;70;55;100;54;53;98;16;Ingenieria Ambiental
10;3;18;20;20;16;20;16;18;17;20;19;16;16;1;3;4;1;5;1;4;2;1;5;1;5;3;5;3;5;4;1;2;4;3;3;4;4;4;2;1;5;3;2;5;3;2;4;5;2;3;1;4;4;5;5;5;2;3;5;5;4;3;3;2;2;2;1;3;3;4;3;3;1;3;4;6;3;4;9;4;30;50;57;37;60;78;62;Ingenieria de Minas
7;20;12;16;17;11;18;16;20;20;20;8;10;16;4;1;2;4;1;3;2;4;1;1;4;5;1;2;2;1;1;4;3;4;1;4;3;4;2;2;3;3;1;2;5;4;2;1;1;5;4;1;2;2;5;5;2;3;2;4;3;3;5;3;1;1;2;1;4;2;4;4;5;4;7;3;7;8;9;1;3;55;44;64;66;100;12;52;Ingenieria Industrial
12;15;16;18;20;18;20;20;14;20;20;12;18;20;5;2;5;3;1;4;2;5;2;1;3;4;1;1;1;4;4;4;2;1;2;2;2;4;4;1;5;4;3;2;2;2;2;5;4;4;5;3;2;5;2;2;3;2;5;3;4;4;5;2;2;1;4;1;4;3;2;3;3;4;9;4;9;1;9;9;1;75;55;78;8;96;75;34;Derecho
20;13;16;18;20;17;20;18;20;13;16;17;20;20;5;1;4;5;4;3;4;2;2;3;2;3;1;3;5;4;4;3;1;1;4;3;1;5;5;5;3;4;3;4;1;5;4;2;4;4;1;4;5;3;3;3;2;3;1;4;3;3;4;5;2;3;4;5;2;2;5;3;3;5;9;1;3;9;1;3;1;80;16;35;95;3;32;32;Ingenieria Biotecnologica
10;9;17;20;17;14;18;20;20;18;20;20;18;16;1;5;3;1;2;5;4;2;5;3;4;2;5;3;1;1;2;4;4;4;5;1;5;2;1;2;1;5;5;3;5;4;1;1;1;5;4;5;1;4;3;1;4;5;3;2;1;1;3;2;4;2;5;1;5;5;2;2;1;5;9;5;9;5;1;1;1;75;61;82;45;33;0;14;Educacion Secundaria
17;20;17;18;20;20;20;20;20;20;20;20;18;20;1;4;4;4;5;1;2;2;4;2;1;4;2;1;5;4;3;1;2;2;5;2;5;1;5;2;4;5;1;4;1;5;5;1;4;4;3;4;1;2;5;1;5;5;2;2;4;5;4;4;5;5;3;2;4;2;2;3;1;1;9;1;9;3;1;1;5;75;22;89;33;6;23;68;Ingenieria Mecanica Electrica
13;5;17;18;18;18;18;20;12;20;20;10;16;14;2;5;5;2;5;2;1;3;1;1;1;5;3;4;3;4;5;1;4;1;4;1;2;1;3;5;4;4;2;4;5;1;2;4;5;3;4;1;3;1;3;3;1;1;5;3;1;3;4;2;2;2;1;2;1;3;1;5;4;2;1;3;7;1;2;7;6;10;38;60;4;36;66;73;Educacion Inicial
13;10;0;16;20;20;20;20;14;11;20;20;18;18;1;2;4;5;5;3;1;2;1;3;5;1;1;3;3;4;1;5;3;3;5;4;2;4;3;2;3;3;1;1;4;1;2;4;5;4;3;4;5;3;3;1;3;4;3;1;2;4;1;2;2;2;2;5;3;3;2;2;5;1;7;6;5;2;3;1;6;55;72;46;29;50;17;70;Teologia
10;15;17;17;20;20;20;20;20;17;16;20;0;20;4;3;2;5;3;2;5;3;2;4;2;3;1;4;5;4;2;2;2;2;3;4;1;2;3;3;3;1;3;5;4;1;2;5;4;1;4;5;3;2;2;2;5;2;5;3;2;5;1;5;3;5;4;5;3;2;4;4;3;1;1;1;2;1;1;2;2;10;11;28;25;23;28;42;Ingenieria Agronomica y Agricola
20;20;17;18;20;20;20;20;20;19;20;20;18;12;4;4;1;5;4;4;5;5;4;5;4;4;4;2;1;3;3;1;3;1;4;3;5;2;1;1;1;1;1;1;2;3;1;4;2;5;4;5;1;2;4;2;2;5;1;1;4;3;2;1;4;3;2;2;5;2;5;2;5;2;7;3;9;4;1;8;1;60;38;85;41;13;71;36;Trabajo Social
17;20;16;17;20;18;20;18;18;20;16;14.5;18;16;1;3;5;3;1;3;5;4;3;5;4;2;5;4;3;3;3;1;1;2;5;4;5;5;1;2;5;2;4;3;1;3;2;5;3;4;5;3;1;5;1;1;2;5;1;5;5;4;1;5;1;5;5;1;2;4;5;5;3;3;1;6;9;1;1;2;1;15;72;100;16;30;28;18;Ingenieria Mecanica Electrica
9;7;17;20;18;0;18;20;10;20;20;16;18;14;4;3;2;4;4;3;5;1;4;3;4;1;3;4;5;4;2;5;5;3;5;5;5;2;3;4;1;3;4;2;3;1;1;5;5;2;3;3;4;5;5;1;1;3;3;1;4;4;4;4;1;1;4;2;1;4;2;4;2;4;1;9;1;2;1;6;2;5;100;7;29;16;53;44;Ingenieria Mecanica
0;12;17;15;20;8;20;18;16;8;20;4;4;4;5;5;4;5;1;4;4;1;4;4;4;5;3;5;5;3;1;3;1;3;4;5;2;5;5;4;2;5;3;2;4;5;2;2;1;4;5;5;1;4;4;3;3;3;3;2;4;4;1;4;3;1;3;5;5;5;2;3;1;5;7;4;1;6;1;3;9;55;50;25;54;20;32;99;Derecho
17;13;17;18;20;20;20;20;8;16;20;20;20;16;1;1;5;3;3;2;1;1;3;4;3;3;4;2;1;2;5;5;2;3;3;3;3;4;2;1;5;4;3;2;5;5;1;5;1;3;4;4;3;4;2;4;1;4;2;3;2;3;4;3;1;2;5;3;5;4;3;3;4;5;9;1;1;3;1;9;1;95;22;3;33;30;96;1;Arquitectura
15;12;16;18;17;19;20;20;16;16;20;10;16;10;3;4;3;3;3;5;3;2;5;1;1;2;5;5;3;3;3;5;1;1;4;3;1;4;4;4;5;5;4;2;3;5;5;1;5;2;4;4;2;3;1;1;1;1;5;4;2;2;4;4;3;2;2;4;4;4;4;1;2;3;4;1;5;1;4;6;4;35;0;50;16;53;53;60;Ingenieria de Sistemas
17;18;16;17;0;19;20;20;18;2;20;10;20;18;1;3;1;3;4;4;1;4;5;1;4;1;2;5;5;5;1;2;3;1;4;2;2;1;2;1;1;4;1;4;1;3;4;2;3;3;2;2;2;4;4;4;5;4;4;1;1;4;1;3;1;5;5;2;2;4;2;3;2;2;7;9;9;5;4;9;9;55;94;92;50;56;82;95;Odontologia
16;10;15;18;18;20;18;18;18;20;16;8;14;12;2;4;1;4;3;2;2;2;5;5;2;3;3;2;1;1;4;1;3;4;1;2;5;4;3;3;5;5;5;2;5;3;3;4;1;3;3;2;5;2;4;3;4;1;2;3;1;2;4;3;4;2;4;2;4;5;1;3;5;2;8;7;1;9;1;9;1;65;77;14;91;0;92;38;Ingenieria Comercial
15;20;16;16;20;19;20;20;20;16;20;11;20;20;1;1;4;2;2;5;2;2;2;2;5;1;1;5;2;2;4;4;5;5;4;4;1;3;1;2;1;3;1;2;2;4;3;2;4;5;2;3;1;3;3;3;3;4;5;4;1;5;4;1;2;3;5;4;1;1;4;1;5;4;3;8;1;7;1;4;3;30;88;21;62;33;41;48;Publicidad y Multimedia
14;18;17;15;19;14;20;20;20;14;16;7;20;18;2;3;1;4;4;4;1;5;5;1;5;2;4;4;2;4;1;5;5;2;5;5;4;3;2;4;4;3;4;2;4;3;3;4;3;2;1;3;3;3;3;3;1;1;3;1;3;4;5;5;3;4;4;5;4;2;1;2;1;5;9;8;6;6;5;9;1;80;83;57;58;63;82;3;Odontologia
3;7;16;20;13;12;20;20;18;0;16;0;14;4;5;5;1;5;1;5;2;3;1;4;2;1;1;3;5;3;5;1;1;2;4;1;2;4;1;3;3;1;3;4;5;5;2;4;4;5;4;2;5;1;2;4;4;4;5;5;2;4;2;1;3;4;2;3;3;4;2;2;1;3;9;6;9;6;7;1;2;70;66;100;58;83;5;45;Educacion Inicial
17;10;16;17;19;20;18;20;20;14;16;10;20;20;5;4;2;5;1;3;4;2;4;2;2;2;4;4;4;4;5;5;1;5;5;1;1;4;2;1;3;5;5;3;3;1;3;3;2;4;1;3;5;4;3;1;5;1;1;3;4;2;1;4;4;4;4;4;1;1;2;3;4;1;9;8;3;9;1;1;6;70;83;32;91;23;17;76;Odontologia
12;17;17;18;19;18;20;20;16;17;20;18;18;8;2;4;4;2;4;5;2;2;2;3;5;2;2;2;5;1;5;2;2;3;3;3;5;2;2;5;1;2;2;1;3;5;5;2;1;5;4;1;1;5;3;3;1;2;4;1;4;3;3;3;5;5;1;3;1;3;1;4;3;5;1;1;1;9;1;9;8;5;22;10;83;0;96;88;Ingenieria Comercial
18;18;17;16;20;18;20;18;20;19;20;18;18;20;3;2;4;5;5;4;2;2;4;3;1;4;2;5;2;5;5;1;5;2;3;5;3;1;4;1;2;1;4;3;3;4;5;2;5;5;3;3;3;5;1;1;2;1;5;3;1;4;2;3;1;5;3;5;5;2;5;2;1;2;5;7;3;3;5;1;5;45;77;32;37;66;10;66;Educacion Primaria
11;10;15;16;20;11;16;10;12;19;20;0;20;14;3;2;2;2;5;2;5;5;1;4;2;4;1;5;3;3;3;3;1;3;4;5;5;2;5;5;5;3;4;1;1;5;5;3;3;1;5;3;1;5;4;3;2;4;2;4;5;3;5;1;1;3;3;4;3;2;3;2;2;2;7;6;7;1;5;2;5;60;72;60;12;63;26;63;Contabilidad
9;5;18;20;19;17;20;18;20;16;20;17;20;18;3;4;1;3;4;2;3;3;3;1;1;2;1;4;2;5;1;2;5;3;4;5;1;1;1;4;5;2;5;1;1;1;5;1;4;4;1;4;1;1;1;5;1;3;3;5;3;2;4;4;2;5;2;4;3;2;2;5;4;3;8;3;1;9;6;1;6;65;44;25;91;73;3;72;Ingenieria Ambiental
9;3;16;20;19;17;18;18;16;19;20;18;20;10;4;2;1;2;1;2;5;2;5;1;2;1;2;1;5;3;5;5;3;1;5;1;1;2;1;5;2;5;2;4;2;3;2;4;3;3;1;2;4;4;3;4;5;2;1;2;3;3;2;5;5;3;5;2;3;1;4;2;2;3;1;1;1;6;1;5;9;10;27;10;54;23;48;96;Educacion Inicial
9;14;14;17;15;20;20;16;8;16;16;0;20;20;2;1;3;3;4;5;3;5;1;3;2;5;1;4;3;4;5;2;4;3;4;1;1;1;5;4;1;4;3;5;4;3;3;3;2;4;3;3;1;1;4;1;2;5;4;1;2;5;2;2;3;5;1;4;5;1;2;4;2;2;9;6;9;1;3;7;1;75;66;92;25;50;62;13;Comunicacion Social
17;13;17;16;20;20;20;20;20;20;20;0;20;20;2;3;4;5;5;1;5;1;5;3;2;1;2;1;5;1;3;3;1;3;1;4;5;2;5;5;2;2;4;2;1;3;4;3;3;5;5;3;4;5;5;5;4;2;5;3;5;3;4;1;5;5;3;5;3;2;4;4;5;1;9;8;1;9;1;7;1;95;83;0;100;23;64;7;Ciencia Politica y Gobierno
8;6;0;15;16;18;18;20;16;16;20;17;14;10;3;4;1;1;4;2;3;3;2;1;2;4;1;1;3;4;1;1;3;1;1;2;4;1;4;5;4;3;5;5;5;3;1;5;2;3;4;5;3;4;4;1;5;3;3;1;5;5;1;1;5;4;5;5;5;1;3;3;2;1;9;8;3;2;4;9;1;75;83;32;29;60;96;21;Turismo y Hoteleria
15;20;15;18;20;12;20;0;20;17;16;11.5;12;0;1;4;3;2;1;5;3;1;4;1;5;3;4;5;1;2;1;2;5;2;1;3;1;2;2;4;3;2;4;2;4;1;1;2;1;5;2;2;3;4;3;2;5;3;3;4;4;1;2;3;4;5;2;4;1;5;3;4;2;1;4;5;1;1;1;9;1;35;61;14;4;23;94;38;Ciencia Politica y Gobierno
12;10;15;17;13;19;20;20;18;16;20;20;20;20;1;5;5;4;3;1;4;4;5;3;2;3;5;3;1;2;1;5;4;2;1;3;4;1;3;1;3;4;3;3;2;2;2;2;4;1;1;2;2;5;1;3;5;2;2;2;4;4;4;4;4;3;5;4;1;2;1;1;4;2;9;9;1;1;1;1;2;80;94;10;8;13;12;39;Tecnologia Medica
11;0;14;17;16;19;14;14;12;11;20;16;18;16;4;3;5;4;3;3;1;2;5;2;3;1;3;2;3;1;5;2;3;4;4;5;1;4;3;1;4;2;1;5;1;2;5;5;1;1;4;5;3;4;3;1;5;2;4;1;4;3;3;2;3;5;5;4;4;3;5;5;3;3;1;6;2;9;2;4;1;10;66;28;100;43;41;3;Derecho
13;12;17;18;20;20;20;20;20;8;16;20;16;18;1;3;3;5;4;4;5;4;1;5;1;3;4;3;5;1;2;2;3;1;5;2;2;3;1;5;1;3;2;5;5;4;5;1;1;2;2;4;1;3;1;4;5;3;1;4;1;1;2;1;1;5;5;2;1;1;5;2;1;5;5;2;1;1;4;5;7;45;33;21;8;60;48;86;Ingenieria de Minas
15;20;18;17;20;14;20;20;20;20;20;15;20;18;2;1;5;1;1;2;2;2;3;1;3;1;5;3;1;4;3;3;3;4;3;5;5;3;1;1;1;4;3;5;4;5;4;5;4;5;3;2;5;5;2;3;3;2;1;4;1;1;4;3;3;2;2;3;1;5;5;1;2;5;5;1;9;1;1;1;9;40;16;100;12;10;3;99;Ingenieria Biotecnologica
14;20;17;18;20;17;20;20;20;15;20;20;20;20;5;4;4;4;2;3;3;4;5;3;3;2;2;5;2;1;2;4;5;1;5;3;3;4;2;2;1;3;2;3;5;2;4;2;4;2;3;4;3;3;4;5;3;4;1;2;2;4;2;2;3;1;5;4;3;3;1;2;3;3;9;9;1;5;1;9;8;75;94;3;50;16;94;92;Comunicacion Social
18;17;18;20;19;18;20;18;20;16;16;11;4;16;5;3;5;3;3;3;3;3;2;2;3;2;2;5;3;4;5;3;4;5;2;2;3;1;4;3;1;3;3;4;4;3;3;4;2;1;4;4;3;4;5;1;1;5;3;4;4;2;5;3;3;2;5;2;1;4;1;1;4;3;7;1;6;9;2;8;7;60;22;53;83;43;69;77;Ciencia Politica y Gobierno
20;15;17;20;17;14;18;20;16;20;20;20;20;10;5;4;5;2;2;4;2;1;1;3;2;3;2;3;4;3;4;5;3;4;3;4;3;5;2;3;3;5;3;3;3;4;4;1;3;2;1;1;4;5;4;1;5;3;2;4;2;3;2;2;5;5;3;4;2;1;5;2;1;1;1;1;1;3;1;4;4;15;11;25;37;30;39;54;Ingenieria Mecatronica
12;15;17;19;20;20;20;20;20;16;20;16;20;20;4;3;3;2;3;5;4;3;1;3;1;4;3;4;3;1;2;3;5;5;2;5;2;2;1;3;3;2;1;3;5;2;2;5;2;1;1;4;5;3;4;5;1;1;1;4;3;2;4;5;2;3;2;4;4;1;4;5;2;4;9;6;4;9;1;1;1;100;66;39;83;20;16;38;Ingenieria Agronomica y Agricola
4;15;14;16;20;18;20;20;16;14;16;20;12;16;4;1;5;2;4;4;1;1;2;1;5;4;4;3;1;2;1;3;1;5;4;2;3;5;1;5;4;5;3;5;5;5;4;2;1;2;3;3;3;4;4;5;2;3;5;2;1;5;3;2;2;5;2;3;2;4;1;1;3;4;9;9;9;3;7;1;6;100;100;89;37;83;17;74;Ingenieria Biotecnologica
9;10;0;16;7;15;16;20;10;14;20;10;10;14;4;4;3;4;3;3;5;4;4;1;4;1;4;4;1;1;4;3;4;1;3;2;2;4;5;4;5;1;1;5;4;3;2;4;3;2;3;3;4;4;2;4;5;2;3;5;3;4;4;1;5;5;1;1;5;3;4;4;4;1;9;4;1;1;1;7;5;70;55;21;4;20;60;68;Ingenieria Mecanica
0;2;17;15;12;13;20;14;16;4;20;12;14;18;2;3;4;4;3;5;1;1;3;5;5;1;4;5;4;1;1;3;1;3;2;2;4;4;5;3;1;5;3;3;3;2;4;1;1;3;5;4;4;2;1;2;1;1;1;5;2;1;4;2;2;5;4;2;2;3;1;1;2;5;1;7;1;1;1;9;4;0;77;7;4;10;87;56;Educacion Inicial
12;6;18;20;16;0;18;18;12;15;20;0;12;18;3;1;3;1;2;4;1;2;5;2;4;1;1;4;4;4;1;4;5;2;5;2;5;1;3;2;3;1;5;5;3;1;3;5;3;4;5;2;4;2;3;1;4;4;2;2;4;3;3;1;4;1;4;4;4;3;2;3;3;1;9;4;9;6;7;1;1;70;55;82;54;83;17;37;Ingenieria de Industria Alimentaria
8;2;17;20;16;0;12;12;14;15;12;0;14;14;2;3;4;4;1;4;1;3;5;1;5;3;1;5;2;2;2;5;5;2;3;5;3;3;5;3;3;3;2;5;1;5;2;4;3;4;5;3;2;5;3;4;3;1;4;5;1;5;4;3;2;2;2;3;4;1;2;5;3;2;9;1;1;6;1;5;1;80;5;3;54;0;51;24;Ingenieria Industrial
15;10;16;20;17;0;18;20;4;16;16;12;10;16;5;4;1;3;4;2;4;1;4;2;4;5;4;2;2;1;1;3;1;3;2;3;3;1;2;5;4;1;1;5;2;2;2;4;5;1;2;4;3;4;5;4;2;4;4;1;4;2;5;2;1;2;4;4;3;3;2;2;3;1;9;9;1;5;2;8;5;80;100;14;50;43;71;70;Ingenieria Mecanica Electrica
10;8;18;20;18;0;20;18;16;18;20;19;16;14;2;5;1;3;3;1;2;1;5;3;5;4;2;2;4;4;1;5;2;1;1;4;4;5;1;3;1;1;4;4;5;1;2;3;5;3;4;2;5;2;3;2;4;1;2;4;1;4;4;3;1;1;1;4;1;1;4;5;2;4;9;8;4;1;1;8;1;90;88;42;4;26;67;28;Turismo y Hoteleria
10;18;17;17;20;15;20;20;18;17;16;16;16;20;2;5;2;4;3;4;5;1;3;3;5;5;5;4;3;4;4;1;3;2;5;1;2;3;2;3;2;1;3;1;1;1;4;1;1;3;1;1;3;5;5;5;2;4;1;3;2;1;5;1;5;5;3;4;4;5;4;3;4;2;1;4;5;1;1;9;9;15;50;50;0;10;100;96;Ingenieria de Industria Alimentaria
7;3;18;20;18;15;18;20;18;18;20;17;20;0;1;4;3;5;1;3;2;2;2;1;4;5;4;1;3;5;5;5;5;1;5;3;5;1;2;3;2;1;5;1;2;3;2;1;1;1;2;2;3;5;4;4;4;4;5;3;3;2;1;5;2;2;3;5;5;2;5;5;4;5;9;6;5;9;1;1;8;70;72;50;79;16;17;87;Farmacia y Bioquimica
4;0;15;15;9;20;14;18;10;0;16;14;10;10;3;4;4;2;4;3;3;4;4;4;5;4;1;4;1;5;4;1;5;4;3;4;3;5;4;3;2;3;4;5;2;1;4;3;2;3;3;4;5;3;1;5;2;1;2;2;3;1;3;2;4;2;5;4;3;1;5;5;5;1;9;1;9;8;1;6;1;90;22;78;66;23;55;15;Ingenieria Biotecnologica
7;13;15;18;18;19;20;16;14;0;20;15;16;12;2;2;3;1;4;3;1;4;1;4;5;3;5;4;4;4;1;4;3;3;4;1;3;2;2;3;1;2;2;2;3;5;5;2;2;1;1;2;2;2;3;5;3;5;4;2;5;5;4;3;2;2;3;3;1;4;2;2;2;4;9;1;7;1;1;5;6;80;11;60;0;10;50;73;Odontologia
7;6;16;18;20;17;18;18;14;17;16;8.5;0;14;5;3;4;2;3;4;4;5;3;2;2;4;3;2;1;4;3;5;4;3;5;4;5;1;2;4;1;4;5;3;4;2;4;3;4;1;1;1;4;4;1;2;5;4;5;4;1;1;5;5;2;2;5;2;2;1;5;5;2;1;7;9;6;9;3;3;1;55;94;53;83;46;32;6;Ingenieria Civil
15;13;17;18;19;20;0;20;0;14;20;18;16;14;1;4;4;2;5;4;5;5;4;4;1;2;5;2;4;4;1;5;1;1;3;5;1;2;2;4;3;2;2;4;4;3;4;2;4;3;1;1;4;3;3;1;3;3;3;1;1;2;1;5;2;5;4;1;4;3;3;1;3;3;3;4;9;3;9;5;2;30;50;89;33;93;46;42;Ciencia Politica y Gobierno
20;15;17;16;20;16;16;20;18;17;16;20;18;14;5;5;3;2;5;3;1;4;5;2;3;4;5;3;4;2;1;5;3;4;3;2;3;4;3;3;4;1;1;4;3;3;1;5;2;5;3;2;5;4;2;5;3;1;4;3;3;1;1;1;4;2;4;5;3;2;5;3;1;1;9;1;7;8;1;9;4;90;5;64;70;6;96;58;Ciencia Politica y Gobierno
17;13;15;15;14.5;18;20;20;16;0;0;12;18;16;5;1;2;5;4;5;4;4;2;3;3;1;3;2;2;4;2;3;1;1;1;2;4;1;4;3;5;2;5;1;1;3;4;4;5;5;1;1;3;5;5;3;3;2;3;1;4;2;5;1;4;5;1;4;5;4;5;2;4;4;2;1;3;1;2;4;1;20;16;35;4;40;42;7;Ingenieria Agronomica y Agricola
13;7;17;18;17;0;20;14;12;19;12;16;12;18;2;4;2;3;3;3;2;4;5;5;5;4;3;1;2;3;5;1;2;5;1;3;1;2;1;4;5;2;3;5;3;3;2;5;2;5;5;3;1;2;1;1;1;3;5;3;1;4;5;3;1;4;4;1;5;4;4;4;3;5;9;1;1;1;1;3;1;95;0;7;8;10;35;30;Educacion Secundaria
14;15;15;18;20;20;16;16;20;2;16;0;8;12;4;5;2;2;3;2;4;5;2;3;1;3;3;2;2;2;2;5;4;5;4;2;2;5;1;1;2;2;4;2;3;3;1;5;1;3;4;3;5;2;5;5;3;2;1;3;2;3;2;3;4;5;1;4;5;2;4;2;2;4;9;1;9;1;4;3;9;70;5;92;16;53;32;99;Ingenieria Comercial
11;13;16;12;20;17;20;0;20;17;20;0;18;14;3;3;2;5;5;2;1;2;2;4;5;2;3;1;3;3;1;2;4;2;3;3;5;2;3;5;4;1;1;2;4;2;2;5;5;3;1;3;3;4;1;4;3;2;2;2;1;3;1;5;3;5;1;2;4;5;5;4;5;4;4;4;9;1;6;1;1;35;55;82;12;73;5;22;Teologia
15;17;18;16;16;20;18;20;10;20;20;11;16;20;5;3;4;4;2;1;5;1;4;3;5;4;4;5;1;2;5;2;2;3;5;3;2;4;2;3;3;1;1;4;5;4;3;5;2;3;3;2;2;5;1;4;5;2;2;1;3;1;4;1;2;4;3;1;3;1;1;1;4;3;6;8;8;9;1;8;1;50;83;67;95;0;69;0;Ciencia Politica y Gobierno
